id,datetime,consumption,cluster
0,2019-02-01,243,6
0,2019-02-02,236,6
0,2019-02-03,335,6
0,2019-02-04,252,6
0,2019-02-05,220,6
0,2019-02-06,276,6
0,2019-02-07,277,6
0,2019-02-08,193,6
0,2019-02-09,262,6
0,2019-02-10,315,6
0,2019-02-11,224,6
0,2019-02-12,337,6
0,2019-02-13,219,6
0,2019-02-14,264,6
0,2019-02-15,384,6
0,2019-02-16,279,6
0,2019-02-17,343,6
0,2019-02-18,320,6
0,2019-02-19,410,6
0,2019-02-20,259,6
0,2019-02-21,313,6
0,2019-02-22,381,6
0,2019-02-23,222,6
0,2019-02-24,355,6
0,2019-02-25,383,6
0,2019-02-26,248,6
0,2019-02-27,314,6
0,2019-02-28,180,6
0,2019-03-01,208,6
0,2019-03-02,230,6
0,2019-03-03,354,6
0,2019-03-04,321,6
0,2019-03-05,319,6
0,2019-03-06,303,6
0,2019-03-07,243,6
0,2019-03-08,135,6
0,2019-03-09,266,6
0,2019-03-10,423,6
0,2019-03-11,545,6
0,2019-03-12,220,6
0,2019-03-13,209,6
0,2019-03-14,476,6
0,2019-03-15,324,6
0,2019-03-16,286,6
0,2019-03-17,225,6
0,2019-03-18,214,6
0,2019-03-19,406,6
0,2019-03-20,284,6
0,2019-03-21,380,6
0,2019-03-22,189,6
0,2019-03-23,293,6
0,2019-03-24,384,6
0,2019-03-25,228,6
0,2019-03-26,169,6
0,2019-03-27,287,6
0,2019-03-28,323,6
0,2019-03-29,459,6
0,2019-03-30,296,6
0,2019-03-31,399,6
0,2019-04-01,380,6
0,2019-04-02,307,6
0,2019-04-03,398,6
0,2019-04-04,516,6
0,2019-04-05,231,6
0,2019-04-06,438,6
0,2019-04-07,387,6
0,2019-04-08,309,6
0,2019-04-09,329,6
0,2019-04-10,333,6
0,2019-04-11,324,6
0,2019-04-12,362,6
0,2019-04-13,234,6
0,2019-04-14,212,6
0,2019-04-15,322,6
0,2019-04-16,282,6
0,2019-04-17,97,6
0,2019-04-18,234,6
0,2019-04-19,0,6
0,2019-04-20,0,6
0,2019-04-21,0,6
0,2019-04-22,0,6
0,2019-04-23,0,6
0,2019-04-24,0,6
0,2019-04-25,404,6
0,2019-04-26,364,6
0,2019-04-27,254,6
0,2019-04-28,201,6
0,2019-04-29,286,6
